Question,Answer
What is a bulk deposit?,A bulk deposit is a single deposit of ₹2 crore or more. Banks often offer special negotiated interest rates for these.
What is auto-renewal of FD?,"If you don't give any instruction when your FD matures, the bank automatically renews it for the same duration at the current interest rate."
What is a partial withdrawal from FD?,Some banks allow you to break only a part of your FD while the rest continues earning interest at the original rate.
What is the PMMY loan?,Pradhan Mantri MUDRA Yojana provides small business loans up to ₹10 lakh through banks and MFIs without collateral for non-farm businesses.
What is a regional rural bank?,"Regional rural banks (RRBs) are government-owned banks that serve rural areas, giving loans to farmers, artisans, and laborers. They are co-owned by the central and state government and a sponsor bank."
What is a self-help group bank linkage?,"Banks provide loans directly to self-help groups (SHGs) of rural women, who then lend to members. This helps people without collateral access credit."
What is account re-activation?,"To reactivate a dormant or inoperative account, visit the branch with KYC documents, fill a reactivation form, and do a transaction to restore normal access."
What is the difference between savings and current account?,"A savings account earns interest and limits daily transactions. A current account offers unlimited transactions without interest, and is meant for businesses."
What is a MICR code?,MICR stands for Magnetic Ink Character Recognition. It's a code at the bottom of your cheque used by machines to process and clear it quickly.
What is an IFSC code?,"IFSC is Indian Financial System Code. It's an 11-character code that identifies your specific bank branch for electronic fund transfers like NEFT, RTGS, and IMPS."
How do I find my IFSC code?,"You can find your IFSC code on the first page of your cheque book, your passbook, the bank's website, or on a cheque leaf."
What is a mini statement?,"A mini statement shows your last 5–10 transactions. You can get it at an ATM, through SMS banking, or by giving a missed call to your bank."
What is a cheque truncation system?,"CTS replaces physical cheque movement with digital images during clearing, making the process faster and reducing errors."
What is the Positive Pay System?,Positive Pay requires you to share the cheque details with the bank before presenting it. This helps the bank catch fake or altered cheques.
What is a currency chest?,A currency chest is a storage facility at certain bank branches that holds RBI's stock of notes and coins for distribution to nearby branches.
What is a nidhi company?,"A nidhi company is a type of NBFC that takes deposits from and lends only to its own members, encouraging savings within a small community."
What is the difference between NRE and FCNR?,"NRE accounts hold foreign earnings in Indian rupees. FCNR accounts hold foreign earnings in the original foreign currency, protecting against exchange rate changes."
What is an account aggregator?,An account aggregator is an RBI-licensed service that lets you securely share your financial data across banks and apps with your consent.
What is a SHG?,"SHG stands for Self-Help Group. It's a small group of people, usually women, who save together and take turns getting small loans from a pooled fund."
What is the NACH system?,"NACH is National Automated Clearing House. It automates bulk payments like salaries, EMIs, SIPs, and utility bills between banks."
What is a flexi deposit account?,A flexi deposit combines a savings account with an FD. Extra money above a limit goes into an FD automatically to earn more interest.
What is an account opening bonus?,"Some banks offer cashback, welcome gifts, or reward points when you open a new account or upgrade to a premium account."
What is the difference between nominee and legal heir?,"A nominee receives the account balance after your death for safekeeping, but the legal heirs under your will or succession law are the actual owners."
What is a succession certificate?,A succession certificate is issued by a court to allow legal heirs to claim funds from a deceased person's bank account when there's no will.
What is a passbook update?,Passbook update means visiting your bank branch or using a passbook printing kiosk to record all your latest transactions in your passbook.
What is TDS deduction from savings account interest?,"Banks deduct TDS if total interest on savings account exceeds ₹10,000 per year for regular customers. You can avoid it by submitting Form 15G or 15H."
What is a joint account mode of operation?,"For a joint account you can choose: Either or Survivor (any one can operate), Former or Survivor (primary holder operates), or Jointly (both signatures required)."
How do I update my mobile number in a bank account?,"Visit your branch with your old and new mobile number and a valid ID proof, fill a request form, and your number will be updated usually within one working day."
How do I change my address in a bank account?,"Submit a request at your branch along with a fresh address proof like an Aadhaar, utility bill, or rent agreement. Some banks allow this online too."
What is a SCSS account?,"SCSS is Senior Citizen Savings Scheme. It's a government-backed investment for people above 60, offering higher interest rates with a 5-year tenure."
What is a bank's role in the economy?,Banks collect savings from people and lend them to businesses and individuals. This keeps money flowing through the economy and supports growth.
What is the Insolvency and Bankruptcy Code's impact on banks?,The IBC lets banks take faster legal action against large defaulters by initiating resolution or liquidation of the borrower's assets through the NCLT.
What is a stale cheque?,A cheque becomes stale if it is not presented to the bank within 3 months from the date written on it. The bank will not honour a stale cheque.
What is an ante-dated cheque?,An ante-dated cheque has a date earlier than the date it was written. It's valid as long as it's presented within 3 months of the written date.
What is a post-dated cheque?,A post-dated cheque carries a future date. The bank will not process it until that date arrives.
What is a bearer cheque?,A bearer cheque can be encashed by anyone who presents it at the bank counter — no name is required. This makes it risky if lost.
What is an order cheque?,An order cheque pays only to the person whose name is written on it. The bank verifies identity before making payment.
What is a crossed cheque?,A crossed cheque has two parallel lines on it meaning it can only be deposited into a bank account and not encashed directly at the counter.
What is account closure procedure?,"Submit a written request, return your debit card and unused cheques, and make sure all pending transactions are cleared. The bank will close the account and pay out the balance."
What is a savings bank interest calculation?,"Banks calculate interest on your daily closing balance and credit it to your account quarterly, usually in March, June, September, and December."
What is the maximum FD tenure?,"Fixed deposits can be opened for a minimum of 7 days and a maximum of 10 years, depending on the bank's product offerings."
What is a gold savings scheme at a bank?,Some banks offer gold savings schemes where you can make regular payments and redeem them as gold at the end of the scheme period.
What is an individual account?,An individual account is a standard bank account held in the name of a single person who is the sole owner and operator.
Can a housewife open a bank account?,"Yes, any Indian citizen regardless of employment status can open a savings account with valid KYC documents."
What is the PMJJBY scheme?,Pradhan Mantri Jeevan Jyoti Bima Yojana is a government life insurance scheme linked to bank accounts. It offers ₹2 lakh life cover for a yearly premium of ₹436.
What is PMSBY?,"Pradhan Mantri Suraksha Bima Yojana offers ₹2 lakh accidental death cover for a yearly premium of just ₹20, linked to your savings account."
What is an account holder?,An account holder is the person or entity in whose name a bank account is officially registered and who has the authority to operate it.
What is a corporate banking account?,"A corporate banking account is designed for large businesses and offers services like cash management, trade finance, payroll, and foreign currency accounts."
What is a flexi recurring deposit?,"A flexi RD allows you to vary your monthly deposit amount, unlike a regular RD where the amount is fixed. It gives more flexibility to irregular earners."
What is a multi-currency account?,A multi-currency account holds balances in multiple foreign currencies. It's mainly used by frequent international travellers and businesses dealing in multiple countries.
What is a debit card?,"A debit card is linked to your bank account. When you use it to shop or withdraw cash, the money is taken directly from your account."
What is a credit card?,"A credit card lets you borrow money from the bank to make purchases. You pay it back later, and if you miss the deadline, you're charged interest."
What is a PIN?,PIN stands for Personal Identification Number. It's your 4–6 digit secret code used to authorise card transactions at ATMs and shops.
What is an ATM?,"An ATM is Automated Teller Machine. It lets you withdraw cash, check your balance, and do basic banking without visiting a branch."
What is mobile banking?,"Mobile banking is using your bank's app on your smartphone to transfer money, pay bills, check your balance, and manage your account."
What is net banking?,"Net banking lets you log in to your bank's website to do all your banking — transfers, bill payments, fixed deposits — from any browser."
What is OTP?,OTP is One-Time Password. It's a temporary code sent to your phone or email to confirm that it's really you doing a transaction.
What is NEFT?,"NEFT is National Electronic Funds Transfer. It lets you send money to any bank account in India. Transfers happen in batches every 30 minutes, 24x7."
What is RTGS?,RTGS is Real-Time Gross Settlement. It's for transferring large amounts (above ₹2 lakh) instantly. It works 24x7 and is settled in real time.
What is IMPS?,"IMPS is Immediate Payment Service. It lets you send money to any bank account instantly, any time, even on holidays. There's no minimum amount."
What is UPI?,"UPI is Unified Payments Interface. It lets you send money instantly using just a mobile number, UPI ID, or QR code — no account number needed."
What is a virtual card?,"A virtual card is a digital card number you can use for online shopping without using your real card, keeping your actual card details safe."
What is two-factor authentication?,Two-factor authentication means you need two things to log in — usually your password plus an OTP sent to your phone. It makes your account much harder to hack.
What is a daily transaction limit?,Banks set a maximum amount you can transfer or withdraw in a day for security. You can usually change this in your banking app or at the branch.
What is internet banking fraud?,Internet banking fraud is when someone illegally accesses your account online to steal money. It often happens through phishing or fake bank websites.
What is QR code payment?,"You scan a merchant's QR code using your UPI app and the payment goes through instantly. No cash, no card, no hassle."
What is a digital wallet?,"A digital wallet like Paytm or Amazon Pay stores your money digitally. You can use it to pay at stores, apps, and websites without a bank card."
What is the BHIM app?,BHIM is a UPI payment app developed by NPCI. You can use it to send and receive money instantly using just a UPI ID or mobile number.
What is contactless payment?,"You tap your card or phone on a payment machine to pay. In India, no PIN is needed for amounts up to ₹5,000."
What is a QR code?,A QR code is a square barcode that stores payment information. Merchants display them so customers can scan and pay using any UPI app.
What is UPI ID?,"A UPI ID is your payment address, like name@bank. You share it with others so they can send you money without knowing your account number."
What is Google Pay?,"Google Pay is a UPI-based payment app by Google. You can use it to send money, pay bills, and recharge phones directly from your bank account."
What is PhonePe?,"PhonePe is a popular UPI app in India where you can make payments, split bills, pay utilities, invest in mutual funds, and buy insurance."
What is Paytm?,"Paytm is a fintech app offering a digital wallet, UPI payments, bill payments, investing, and even a payments bank account."
What is net banking login?,You log in to net banking using your customer ID or username and a password. A second verification using OTP is usually needed.
What is IMPS transfer limit?,Most banks allow IMPS transfers of up to ₹5 lakh per transaction. Some banks allow up to ₹2–5 lakh per day depending on your account type.
How long does NEFT take?,"NEFT settles in the next half-hour batch after you initiate the transfer. It runs 24x7, so your money usually arrives within 30 minutes."
What is RTGS minimum amount?,The minimum amount for RTGS is ₹2 lakh. There is no maximum limit. It's ideal for large payments like property deals.
What is a UPI limit per day?,"RBI allows up to ₹1 lakh per transaction for standard UPI. For specific uses like capital markets or medical emergencies, the limit is ₹5 lakh."
What is UPI AutoPay?,UPI AutoPay lets you set up automatic recurring payments — like subscriptions or SIPs — so money is debited without you approving each time.
What is tokenization of cards?,"Tokenization replaces your actual card number with a unique code (token) during online payments, so your real card details are never exposed."
What is a payment gateway?,"A payment gateway is the technology that connects online shops to banks, securely processing your card or UPI payment when you checkout."
What is Aadhaar-enabled Payment System?,AePS lets you withdraw cash or check balance at a banking agent using just your Aadhaar number and fingerprint — no card or phone needed.
What is a banking correspondent?,"A banking correspondent is an agent, often a shopkeeper, who provides basic banking services in areas without a bank branch using a handheld device."
What is a prepaid card?,A prepaid card is loaded with a set amount of money beforehand. You can use it like a debit card until the balance runs out.
What is CVV on a card?,CVV is a 3-digit security code on the back of your card. It's used for online transactions to confirm you physically have the card.
What is phishing?,"Phishing is when fraudsters send fake emails or messages that look like they're from your bank, trying to trick you into giving your password or OTP."
What is vishing?,Vishing is phone fraud. Someone calls pretending to be a bank official and tries to get you to share your account details or OTP.
What is smishing?,Smishing is SMS fraud. You get a message with a suspicious link claiming to be from your bank. Clicking it can steal your info or install malware.
What is card skimming?,"Card skimming is when fraudsters attach a hidden device to an ATM to copy your card data, which they then use to make fake cards."
What is a chargeback?,If you dispute a card transaction — say you didn't get what you paid for — your bank can reverse the payment through a chargeback process.
What is e-KYC?,e-KYC is electronic KYC using your Aadhaar number. It verifies your identity digitally in seconds without any physical paperwork.
What is DigiLocker?,"DigiLocker is a government app where you can store digital copies of your Aadhaar, PAN, and other documents. Banks accept these for KYC."
What is USSD banking?,"USSD banking lets you access banking services like balance check and fund transfer by dialling *99# on any mobile phone, even without internet."
What is the BBPS?,"BBPS is Bharat Bill Payment System. It's a single platform to pay all kinds of bills — electricity, water, gas, loan EMIs — through any bank or app."
What is FASTag?,"FASTag is an RFID sticker on your car's windscreen. When you pass a toll booth, the fee is automatically deducted from your linked account."
What is a missed call banking service?,Many banks let you check your balance or get a mini statement by just giving a missed call from your registered mobile number — no internet needed.
What is IVR banking?,"IVR lets you do basic banking by calling your bank's helpline and pressing numbered keys on your phone to check balance, report lost cards, etc."
What is open banking?,Open banking lets you share your financial data with trusted third-party apps (with your permission) to get better financial tools and services.
What is a banking chatbot?,"A banking chatbot is an AI assistant on your bank's app or website that answers questions, helps with transactions, and resolves issues instantly."
What is the free ATM withdrawal limit?,"RBI allows 5 free ATM transactions at your own bank and 3 free transactions at other banks in metro cities per month. After that, ₹21 is charged per transaction."
What is a failed ATM transaction?,"If money is deducted from your account but you don't get cash from the ATM, the bank must reverse the amount within 5 business days."
What is the NPCI?,"NPCI is National Payments Corporation of India. It runs all major Indian payment systems like UPI, RuPay, IMPS, FASTag, and NACH."
What is a debit card daily limit?,"Banks usually allow ₹40,000–₹1 lakh per day on debit cards. You can change this in your banking app within the maximum limit."
What is UPI Lite?,"UPI Lite is for small payments up to ₹500. It uses on-device balance and works without internet. Great for quick, low-value transactions."
What is a credit card statement?,"It's a monthly summary of all your credit card transactions, the total amount due, minimum payment due, and the payment due date."
What is a credit card billing cycle?,A billing cycle is the monthly period (usually 30 days) during which all credit card transactions are recorded and billed.
What is a credit card grace period?,The grace period is the time between your billing date and payment due date — usually 15–25 days. Pay the full amount in this period to avoid interest.
What is a credit card minimum payment?,The minimum payment is the smallest amount (usually 5% of the balance) you must pay each month to keep your credit card account in good standing.
What is credit card interest?,"If you don't pay your full credit card bill, interest is charged on the outstanding amount — usually 24% to 42% per year, which is very high."
What is a credit card cash advance?,"A cash advance lets you withdraw cash using your credit card. It usually has a high fee and interest starts from day one, with no grace period."
What is a debit card international usage?,Debit cards can be used abroad if the bank activates international access. A small conversion fee applies on each foreign currency transaction.
What is a credit card reward program?,"Credit card rewards give you points or cashback on every purchase. Accumulated points can be redeemed for travel, shopping, or bill payments."
What is a credit card annual fee?,"An annual fee is a yearly charge for using a credit card. Some cards are lifetime-free; premium cards may charge ₹500 to ₹10,000 per year."
What is a card block request?,"If your card is lost or stolen, you can block it instantly by calling the bank's helpline, using the mobile app, or sending an SMS."
What is a digital loan?,"A digital loan is sanctioned and disbursed entirely online in minutes, using data from your bank account, credit score, and digital income proof."
What is UPI 123PAY?,"UPI 123PAY allows feature phone users without internet to make UPI payments via IVR call or missed call, extending digital banking to rural India."
What is SIM swap fraud?,"SIM swap fraud is when a criminal gets a duplicate SIM in your name, takes over your mobile number, and intercepts your OTPs to access your bank account."
What is a bank's cyber security team?,"A bank's cyber security team monitors transactions around the clock, blocks suspicious activity, and responds to fraud to protect customer accounts."
What is AePS withdrawal?,"With AePS, you can withdraw cash from a business correspondent's micro ATM using only your Aadhaar number and fingerprint — no card or PIN required."
What is the National Financial Switch?,"NFS is the ATM network run by NPCI that connects all ATMs in India, letting you withdraw cash from any bank's ATM using any bank's card."
What is a debit card EMI?,Some banks allow you to convert large debit card purchases into EMIs. The amount is deducted monthly from your account with a small interest charge.
What is a recurring payment?,"A recurring payment is an automatic debit that happens every month for things like loan EMIs, insurance premiums, or streaming subscriptions."
What is NACH debit?,NACH debit is an automatic payment pulled from your account by a lender or service provider after you authorize it once via a mandate.
What is a NACH return charge?,"If a NACH debit fails because your account had insufficient funds, the bank charges you a return fee — usually ₹100 to ₹500."
What is Net Banking 2FA?,"Net banking uses two-factor authentication: your password (first factor) and an OTP sent to your registered mobile (second factor), to keep your account safe."
What is a payment app PIN?,A payment app PIN is a 4–6 digit code you set in UPI apps like Google Pay or PhonePe to authorize each money transfer from your phone.
What is a banking app update?,"Banks regularly update their apps to fix security issues, add new features, and comply with RBI guidelines. Always keep your banking app updated."
What is biometric login in banking?,"Biometric login lets you access your banking app using your fingerprint or face instead of a password, making it faster and more secure."
What is the e-Rupee?,"The e-Rupee is India's Central Bank Digital Currency launched by RBI. It's a digital form of cash, equal in value to physical rupee notes."
What is CBDC?,"CBDC is Central Bank Digital Currency. In India, RBI's Digital Rupee is a CBDC that works like cash but in digital form, without needing a bank account."
What is an IBAN?,"IBAN is International Bank Account Number. It's a standard format for bank account numbers used in international transfers, especially in Europe and the Middle East."
What is a SWIFT code?,SWIFT code is a unique code identifying your bank's international address. It's needed when sending or receiving money across countries.
What is cross-border payment?,Cross-border payment is sending money from one country to another. It involves currency conversion and is processed through SWIFT or correspondent banks.
What is a wire transfer?,"A wire transfer is an electronic transfer of funds between banks, often used for international payments. It's secure but may take 1–5 business days."
What is a remittance?,"Remittance is money sent by someone working abroad back to their family in their home country. In India, remittances from NRIs are a major source of income."
What is the RBI Retail Direct platform?,"RBI Retail Direct is a platform where you can directly buy government bonds, treasury bills, and sovereign gold bonds online without a broker."
What is Sovereign Gold Bond?,Sovereign Gold Bonds are RBI-issued bonds that give you returns linked to gold prices plus 2.5% annual interest. No storage risk and capital gains are tax-free on maturity.
What is a Demat account?,"A Demat account holds your shares and securities in electronic form, like a bank account holds money. It's needed for trading in the stock market."
What is an online fixed deposit?,You can open an FD through net banking or your mobile app without visiting a branch. The rate is the same as at the branch.
What is 3D Secure for credit cards?,3D Secure is an extra authentication step — usually an OTP — required for online credit card transactions to prevent unauthorised use.
What is card-not-present fraud?,"Card-not-present fraud happens when someone uses your card details (number, CVV, expiry) for online purchases without having your physical card."
What is a mobile POS terminal?,A mobile POS is a card-swiping device connected to a smartphone. Small merchants use it to accept debit/credit card payments on the go.
What is a QR code merchant?,"A merchant who displays a QR code on their counter for customers to scan and pay using any UPI app, without needing a card machine."
What is cardless cash withdrawal?,You can withdraw cash at certain ATMs using just your mobile banking app and a one-time code — no card needed.
What is a UPI transaction ID?,Every UPI payment generates a unique transaction ID (UTR number). Use it to track your payment or raise a dispute if something goes wrong.
What is a NEFT UTR number?,A UTR (Unique Transaction Reference) number is generated for every NEFT and RTGS transfer. It's used to track or dispute a transaction.
What is a digital savings account?,A digital savings account is opened and operated entirely online. It works like a regular savings account but with no physical branch visits required.
What is real-time balance update?,"After any transaction, your account balance is updated instantly in your mobile app or net banking, so you always know exactly how much you have."
What is an SMS transaction alert?,"Banks send you an SMS every time a transaction happens on your account — credit, debit, ATM withdrawal — so you can immediately detect fraud."
What is a bank's 24x7 helpline?,"Most banks have a toll-free 24-hour helpline where you can block cards, report fraud, get balance info, or raise complaints anytime."
What is a payment failure and auto-refund?,"If an online payment fails but money is deducted, the bank must auto-refund within 5 business days. If not done, they owe you compensation."
What is BBPS bill payment?,"Through BBPS, you can pay any recurring bill — electricity, broadband, water, insurance, school fees — through any bank app or payment platform."
What is a bank token?,A bank token (hardware or software) generates a one-time code for added security when logging into net banking or authorizing large transactions.
What is a push notification in banking?,"Push notifications are alerts from your bank app for every transaction, low balance, new offers, or due payments — keeping you instantly informed."
What is a one-time password for banking?,An OTP is a temporary 4–6 digit code sent to your phone to confirm a transaction or login attempt. It expires in 60–300 seconds and can't be reused.
What is a loan?,A loan is money you borrow from a bank and agree to pay back over time with interest.
What is a home loan?,A home loan is money borrowed from a bank to buy or build a house. You repay it in monthly instalments over 10–30 years.
What is a personal loan?,"A personal loan is an unsecured loan you can use for any purpose — medical bills, travel, wedding, or home repair. No collateral is needed."
What is a car loan?,"A car loan is taken to buy a vehicle. The car itself acts as security. You repay it in EMIs, usually over 3–7 years."
What is a gold loan?,A gold loan is where you pledge your gold jewellery or coins at the bank and get cash in return. It's quick and doesn't need a credit score.
What is an education loan?,An education loan helps students fund their higher education in India or abroad. Repayment usually begins 6–12 months after getting a job.
What is a business loan?,A business loan provides working capital or funds for business expansion. It can be secured or unsecured depending on the lender.
What is a crop loan?,"A crop loan (Kisan Credit Card) is a short-term loan for farmers to buy seeds, fertilizers, and equipment for their agricultural activities."
What is collateral?,"Collateral is an asset you offer the bank as security for a loan — like your house, car, or gold. If you don't repay, the bank can take it."
What is an EMI?,"EMI stands for Equated Monthly Instalment. It's the fixed amount you pay every month to repay your loan, combining principal and interest."
What is a credit score?,A credit score is a number between 300 and 900 that shows how reliable you are as a borrower. A score above 750 is considered good.
What is CIBIL score?,"CIBIL score is a credit score by TransUnion CIBIL, the most commonly used credit bureau in India. Lenders check it before approving loans."
How can I improve my credit score?,"Pay your EMIs and credit card bills on time, avoid applying for too many loans at once, and keep your credit utilisation below 30%."
What is a default on a loan?,Defaulting means failing to repay a loan as agreed. It damages your credit score and the bank can take legal action or seize your collateral.
What is a repo rate?,"Repo rate is the rate at which RBI lends money to banks. When RBI raises it, banks also raise their lending rates, making loans costlier."
What is reverse repo rate?,Reverse repo rate is the rate at which RBI borrows money from banks. It's used to control excess liquidity in the banking system.
What is the base rate?,The base rate is the minimum rate banks can lend at. It was replaced by MCLR in 2016 to make loan interest rates more transparent.
What is MCLR?,MCLR is Marginal Cost of Funds based Lending Rate — the minimum interest rate below which a bank cannot lend. It adjusts monthly.
What is simple interest?,"Simple interest is calculated only on the original amount. For example, 10% simple interest on ₹10,000 gives ₹1,000 per year."
What is compound interest?,Compound interest is calculated on the original amount plus previously earned interest. Your money grows faster with compounding.
What is a loan tenure?,Loan tenure is the total time you have to repay the loan. Longer tenures mean smaller EMIs but more total interest paid.
What is a loan sanction letter?,"A loan sanction letter is an official document from the bank confirming your loan is approved, with details of the amount, interest rate, and repayment terms."
What is a loan disbursement?,Loan disbursement is when the bank actually transfers the approved loan money to your account or directly to the seller (in case of home or car loans).
What is a loan statement?,"A loan statement shows your outstanding principal, interest paid, EMIs paid so far, and the remaining schedule of payments."
What is loan foreclosure?,Foreclosure means paying off your entire remaining loan balance before the tenure ends. Most banks allow this with minimal or no penalty for floating rate loans.
What is a prepayment penalty?,Some banks charge a fee if you repay your loan early. RBI has banned foreclosure charges on floating rate home and personal loans for individual borrowers.
What is a secured loan?,"A secured loan requires collateral. If you don't repay, the lender takes your pledged asset. Examples: home loan, car loan, gold loan."
What is an unsecured loan?,"An unsecured loan doesn't need collateral. It's based on your credit score and income. Examples: personal loan, credit card loan."
